count,id,name,age,gender,nationality,agreement,pltnum,Qno,Qsub,kwd並び,kwd,Kwd日本語,kwd2,col_1,col_2a,col_2b,c_c,c_c,col_sum,col_3a,col_3b,col_3c,col_Aa,col_Ab,col_Ac,col_Ra,col_Rb,col_Rc
1,undefined,58,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,37,#E4B7FF,#E4B7FF,24,25,13,24,25,13,24,0.6133333333,0.08,0.3066666667
1,undefined,2,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,24,#FFB8E6,#FFB8E6,25,25,24,23,25,24,23,0.4733333333,0.3333333333,0.1933333333
1,undefined,7,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,24,#FFB8E6,#FFB8E6,25,25,24,12,25,24,12,0.12,0.3666666667,0.5133333333
1,undefined,9,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,14,#FFB8E6,#FFB8E6,25,25,14,51,25,14,51,0.422222239,0.133333333,0.444444427
1,undefined,16,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,18,#FFB8E6,#FFB8E6,25,25,18,14,25,18,14,0.5266666667,0.1133333333,0.36
1,undefined,17,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,38,#FFB8E6,#FFB8E6,25,25,51,64,25,51,64,0.3333,0.3333,0.3333
1,undefined,23,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,38,90,#FFB8E6,#FFB8E6,25,25,51,90,25,51,90,0.6466666667,0.2866666667,0.06666666667
1,undefined,26,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,12,#FFB8E6,#FFB8E6,25,25,12,1,25,12,1,0.24,0.2666666667,0.4933333333
1,undefined,31,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,27,#FFB8E6,#FFB8E6,25,25,27,51,25,27,51,0.4133333333,0.3466666667,0.24
1,undefined,32,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,16,#FFB8E6,#FFB8E6,25,25,16,15,25,16,15,0.433333333,0.293333333,0.273333333
1,undefined,38,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,12,25,12,#FFB8E6,#FFB8E6,25,25,12,0,25,12,0,0.2577778117,0.5733333333,0.168888855
1,undefined,41,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,14,40,51,#FFB8E6,#FFB8E6,25,25,1,27,25,1,27,0.3911110942,0.4733333333,0.1355555725
1,undefined,42,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,27,#FFB8E6,#FFB8E6,25,25,27,12,25,27,12,0.1955556234,0.3466666667,0.45777771
1,undefined,20,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,25,12,#FFB8E6,#FFB8E6,25,12,25,38,12,25,38,0.3244444784,0.3422221883,0.3333333333
1,undefined,28,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,25,38,#FFB8E6,#FFB8E6,25,12,25,42,12,25,42,0.5533333333,0.2133333333,0.2333333333
1,undefined,35,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,25,38,#FFB8E6,#FFB8E6,25,18,25,51,18,25,51,0.2133333333,0.4933333333,0.2933333333
1,undefined,14,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,64,64,38,#FFB8E6,#FFB8E6,25,64,38,25,64,38,25,0.5866666667,0.28,0.1333333333
1,undefined,22,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,77,77,51,#FFB8E6,#FFB8E6,25,77,51,25,77,51,25,0.511111145,0.2933333333,0.1955555216
1,undefined,37,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,64,64,51,#FFB8E6,#FFB8E6,25,77,64,25,77,64,25,0.306666667,0.246666667,0.446666667
1,undefined,48,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,12,25,#FFB8E6,#FFB8E6,25,11,12,25,11,12,25,0.1866666667,0.46,0.3533333333
1,undefined,52,2,1,0,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,51,#FFB8E6,#FFB8E6,25,51,51,31,25,51,31,0.506666667,0.386666667,0.106666667
1,undefined,52,2,1,0,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,51,#FFB8E6,#FFB8E6,25,51,51,31,25,51,31,0.506666667,0.386666667,0.106666667
1,undefined,52,2,1,0,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,51,#FFB8E6,#FFB8E6,25,31,51,31,25,51,31,0.506666667,0.386666667,0.106666667
1,undefined,55,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,3,20,#FFB8E6,#FFB8E6,25,25,3,20,25,3,20,0.44,0.5266666667,0.03333333333
1,undefined,56,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,25,12,#FFB8E6,#FFB8E6,25,12,25,38,12,25,38,0.2666666667,0.36,0.3733333333
1,undefined,57,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,77,#FFB8E6,#FFB8E6,25,25,77,27,25,77,27,0.52,0.2466666667,0.2333333333
1,undefined,58,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,37,#FFB8E6,#FFB8E6,25,25,13,24,25,13,24,0.6133333333,0.08,0.3066666667
1,undefined,12,1,1,0,undefined,num,3,1,1,lovely,愛らしい,undefined,38,38,27,#FF8A89,#FF8A89,27,38,27,14,38,27,14,0.433333333,0.326666667,0.24
1,undefined,31,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,27,#FF8A89,#FF8A89,27,25,27,51,25,27,51,0.4133333333,0.3466666667,0.24
1,undefined,39,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,38,27,#FF8A89,#FF8A89,27,38,27,40,38,27,40,0.4466666667,0.3,0.2533333333
1,undefined,42,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,27,#FF8A89,#FF8A89,27,25,27,12,25,27,12,0.1955556234,0.3466666667,0.45777771
1,undefined,3,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,14,1,14,#FF8A89,#FF8A89,27,1,14,27,1,14,27,0.3333,0.3333,0.3333
1,undefined,11,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,40,44,46,#FF8A89,#FF8A89,27,42,60,27,42,60,27,0.24,0.2066666667,0.5533333333
1,undefined,41,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,14,40,51,#FF8A89,#FF8A89,27,25,1,27,25,1,27,0.3911110942,0.4733333333,0.1355555725
1,undefined,53,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,38,38,51,#FF8A89,#FF8A89,27,14,27,38,14,27,38,0.3333,0.3333,0.3333
1,undefined,57,2,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,25,25,77,#FF8A89,#FF8A89,27,25,77,27,25,77,27,0.52,0.2466666667,0.2333333333
1,undefined,36,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,12,12,28,#FFB887,#FFB887,28,12,28,18,12,28,18,0.3333,0.3333,0.3333
1,undefined,21,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,53,38,53,#FFFF83,#FFFF83,31,53,38,31,53,38,31,0.491111145,0.3133333333,0.1955555216
1,undefined,44,1,1,1,undefined,num,3,1,1,lovely,愛らしい,undefined,undefined,undefined,undefined,#FFFF83,#FFFF83,31,31,16,14,,,,,,
1,undefined,12,1,1,0,undefined,num,3,1,1,lovely,愛らしい,undefined,38,38,27,#FF88D5,#FF88D5,38,38,27,14,38,27,14,0.433333333,0.326666667,0.24
